Cluster,Title
0,"PENGARUH PENGGUNAAN MODEL SAMR (SUBTITUTION, AUGMENTATION, MODIFICATION AND REDEFINITION) TERHADAP KEMAMPUAN BERPIKIR KRITIS SISWA PADA MATA PELAJARAN PEMROGRAMAN DASAR KELAS X MULTIMEDIA SMK BATIK 2 SURAKARTA"
0,"PENGARUH PENGGUNAAN MODEL SAMR (SUBTITUTION, AUGMENTATION, MODIFICATION AND REDEFINITION) TERHADAP KEMAMPUAN BERPIKIR KRITIS SISWA PADA MATA PELAJARAN PEMROGRAMAN DASAR KELAS X MULTIMEDIA SMK BATIK 2 SURAKARTA"
0,Analisis kesiapan pembelajaran pemrograman pada siswa Madrasah Tsanawiyah Negeri Surakarta 1 berdasarkan kemampuan berpikir komputasi
0,Analisis kesiapan pembelajaran pemrograman pada siswa Madrasah Tsanawiyah Negeri Surakarta 1 berdasarkan kemampuan berpikir komputasi
1,Eksperimentasi Discovery Learning dan Project Based Learning Kombinasi College Ball ditinjau dari Minat pada Materi Kontrol Percabangan Kelas X SMK Negeri 6 Surakarta Tahun Ajaran 2015/2016
1,Pengaruh Computer Literacy  dan  Intensitas  Penggunaan  Website Sebagai  Media  Informasi   Terhadap  Minat  Mencari  Kerja  pada  Siswa  Kelas XII di Sekolah Menengah Kejuruan Kabupaten Wonogiri  Tahun Pelajaran 2015/2016
1,Eksperimentasi Discovery Learning dan Project Based Learning Kombinasi College Ball ditinjau dari Minat pada Materi Kontrol Percabangan Kelas X SMK Negeri 6 Surakarta Tahun Ajaran 2015/2016
1,Pengaruh persepsi siswa mengenai kompetensi guru terhadap prestasi belajar siswa pada mata pelajaran sistem komputer di smk negeri 1 Banyudono
1,Pengaruh persepsi siswa mengenai kompetensi guru terhadap prestasi belajar siswa pada mata pelajaran sistem komputer di smk negeri 1 Banyudono
1,Pengaruh Computer Literacy  dan  Intensitas  Penggunaan  Website Sebagai  Media  Informasi   Terhadap  Minat  Mencari  Kerja  pada  Siswa  Kelas XII di Sekolah Menengah Kejuruan Kabupaten Wonogiri  Tahun Pelajaran 2015/2016
2,Efektivitas Penggunaan E-Learning Berbasis Schoology dengan Menggunakan Model Discovery Learning Terhadap Prestasi Belajar Siswa pada Mata Pelajaran Sistem Komputer Kelas X Multimedia SMK Negeri 6 Surakarta pada Tahun Pelajaran 2015/2016
2,Perbandingan antara model pembelajaran flipped classroom berbantuan edmodo dengan pembelajaran konvensional terhadap hasil belajar sistem operasi  (eksperimen kelas x smk 1 Banyudono) 
2,Pengaruh Model Pembelajaran Blended Learning Dengan Strategi Flipped ClassroomTerhadap Kemandirian Dan Hasil Belajar Pada Mata Pelajaran Simulasi Digital Siswa Kelas X Di SMK Negeri 1 Gondang
2,Studi Komparasi Antara Model Pembelajaran Konvensional dengan Model Ubiquitous Learning (U-Learning) Terhadap Prestasi Belajar Ditinjau dari Motivasi Belajar Siswa pada Mata Pelajaran Simulasi dan Komunikasi Digital Kelas X SMK Yapek Gombong
2,Pengaruh penerapan model pembelajaran cooperative learning tipe teams games tournament (TGT) berbantuan aplikasi quizizz terhadap hasil belajar ditinjau dari motivasi belajar pada mata pelajaran simulasi digital
2,Perbedaan Prestasi Belajar Ditinjau dari Gaya Belajar pada Penerapan Model Pembelajaran Kooperatif Tipe Think Talk Write (TTW) di SMK Negeri 1 Sawit
2,Studi Komparasi Antara Model Pembelajaran Konvensional dengan Model Ubiquitous Learning (U-Learning) Terhadap Prestasi Belajar Ditinjau dari Motivasi Belajar Siswa pada Mata Pelajaran Simulasi dan Komunikasi Digital Kelas X SMK Yapek Gombong
2,Pengaruh penerapan model pembelajaran cooperative learning tipe teams games tournament (TGT) berbantuan aplikasi quizizz terhadap hasil belajar ditinjau dari motivasi belajar pada mata pelajaran simulasi digital
